Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Sales_Actual_Units,EU_Sales_Actual_Units,JP_Sales_Actual_Units,Other_Sales_Actual_Units,Global_Sales_Actual_Units,Critic_Score,Critic_Count,User_Score,User_Count,Average_Score,Developer,Developer_Copied,Rating
SafeCracker: The Ultimate Puzzle Adventure,Wii,2008,Puzzle,The Adventure Company,0.07,0.01,0,0.01,0.08,"70,000","10,000",0,"10,000","80,000",56,7,7.8,4,64.0,Kheops Studio,Kheops Studio,E
Super Robot Taisen OG Saga: Endless Frontier,DS,2008,Role-Playing,Namco Bandai Games,0.07,0,0,0.01,0.08,"70,000",0,0,"10,000","80,000",73,22,9,22,81.5,Monolith Soft,Monolith Soft,T
Line Rider 2: Unbound,DS,2008,Puzzle,Deep Silver,0.07,0,0,0.01,0.08,"70,000",0,0,"10,000","80,000",59,23,5.6,5,58.5,InXile Entertainment,InXile Entertainment,E
Tomb Raider: Underworld,PC,2008,Action,Eidos Interactive,0,0.06,0,0.01,0.08,0,"60,000",0,"10,000","80,000",80,20,7.7,272,77.2,Nixxes Software,Nixxes Software,T
Code Lyoko: Fall of X.A.N.A.,DS,2008,Adventure,Game Factory,0.07,0,0,0.01,0.08,"70,000",0,0,"10,000","80,000",51,11,6.3,4,54.2,The Game Factory,The Game Factory,E
Worms: A Space Oddity,Wii,2008,Strategy,THQ,0.06,0.02,0,0.01,0.08,"60,000","20,000",0,"10,000","80,000",64,26,4.3,13,57.0,Team 17,Team 17,E10+
TrackMania DS,DS,2008,Racing,Focus Home Interactive,0.06,0.01,0,0.01,0.08,"60,000","10,000",0,"10,000","80,000",75,38,6.9,12,73.6,Firebrand Games,Firebrand Games,E
Soul Bubbles,DS,2008,Puzzle,Eidos Interactive,0.05,0.02,0,0.01,0.08,"50,000","20,000",0,"10,000","80,000",78,33,8,22,78.8,Mekensleep,Mekensleep,E
Bangai-O Spirits,DS,2008,Shooter,D3Publisher,0.07,0,0,0.01,0.08,"70,000",0,0,"10,000","80,000",83,38,8.1,27,82.2,Treasure,Treasure,E10+
Lost in Blue: Shipwrecked,Wii,2008,Adventure,Konami Digital Entertainment,0.07,0,0,0.01,0.08,"70,000",0,0,"10,000","80,000",54,11,6,6,56.1,Hudson Soft,Hudson Soft,E10+
Ultimate Shooting Collection,Wii,2008,Shooter,Milestone,0.07,0,0,0,0.08,"70,000",0,0,0,"80,000",66,4,,,66.0,MileStone Inc.,MileStone Inc.,E
Need For Speed: Undercover,PC,2008,Racing,Electronic Arts,0,0.07,0,0.01,0.08,0,"70,000",0,"10,000","80,000",65,18,4.9,231,50.2,EA Black Box,EA Black Box,T
Elebits: The Adventures of Kai and Zero,DS,2008,Adventure,Konami Digital Entertainment,0.07,0,0,0.01,0.08,"70,000",0,0,"10,000","80,000",75,15,8.3,4,76.7,Konami,Konami,E
The Legend of Kage 2,DS,2008,Action,Square Enix,0.07,0,0,0,0.07,"70,000",0,0,0,"70,000",70,21,6.3,4,68.9,Taito Corporation,Taito Corporation,E10+
Baroque,Wii,2008,Role-Playing,Rising Star Games,0.07,0,0,0.01,0.07,"70,000",0,0,"10,000","70,000",50,22,8.1,24,66.2,Sting,Sting,T
Agatha Christie: And Then There Were None,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.07,"60,000","10,000",0,"10,000","70,000",50,23,6.2,12,54.1,AWE Games,AWE Games,T
The History Channel: Battle for the Pacific,PS3,2008,Shooter,Activision,0.07,0,0,0.01,0.07,"70,000",0,0,"10,000","70,000",36,7,2.4,15,27.8,Activision,Activision,T
The King of Fighters Collection: The Orochi Saga,PSP,2008,Fighting,Ignition Entertainment,0.07,0,0,0,0.07,"70,000",0,0,0,"70,000",61,16,7,9,64.2,SNK Playmore,SNK Playmore,T
Winter Sports 2: The Next Challenge,X360,2008,Sports,RTL,0.06,0.01,0,0.01,0.07,"60,000","10,000",0,"10,000","70,000",41,8,,,41.0,49Games,49Games,E
Prey the Stars,DS,2008,Action,Tecmo Koei,0.07,0,0,0.01,0.07,"70,000",0,0,"10,000","70,000",66,12,,,66.0,Koei Canada,Koei Canada,E
Hammerin' Hero,PSP,2008,Action,Irem Software Engineering,0.06,0,0,0.01,0.07,"60,000",0,0,"10,000","70,000",73,19,7.3,8,73.0,Irem,Irem,E10+
Jumper: Griffin's Story,PS2,2008,Action,Eidos Interactive,0.03,0.03,0,0.01,0.07,"30,000","30,000",0,"10,000","70,000",,,4.2,5,42.0,Collision Studios,Collision Studios,T
Robocalypse,DS,2008,Strategy,Tecmo Koei,0.07,0,0,0.01,0.07,"70,000",0,0,"10,000","70,000",78,15,8.6,18,82.4,Vogster,Vogster,E10+
Homie Rollerz,DS,2008,Racing,Destineer,0.07,0,0,0.01,0.07,"70,000",0,0,"10,000","70,000",23,9,2.4,12,23.6,Webfoot Technologies,Webfoot Technologies,E
Silent Hill: Origins,PS2,2008,Action,Konami Digital Entertainment,0.03,0.03,0,0.01,0.07,"30,000","30,000",0,"10,000","70,000",70,21,7.4,59,73.0,Climax Group,Climax Group,M
SNK Arcade Classics Vol. 1,Wii,2008,Misc,Ignition Entertainment,0.06,0,0,0,0.07,"60,000",0,0,0,"70,000",73,18,8,4,74.3,SNK Playmore,SNK Playmore,T
Digimon World Championship,DS,2008,Role-Playing,Namco Bandai Games,0,0,0.07,0,0.07,0,0,"70,000",0,"70,000",49,6,6.5,13,59.9,Epics,Epics,E
Target: Terror,Wii,2008,Shooter,Konami Digital Entertainment,0.06,0,0,0.01,0.07,"60,000",0,0,"10,000","70,000",33,19,2.7,16,30.3,Leviathan Games,Leviathan Games,M
Tokyo Beat Down,DS,2008,Action,Success,0.06,0,0,0,0.07,"60,000",0,0,0,"70,000",56,23,,,56.0,Success,Success,T
Pipe Mania,PSP,2008,Puzzle,Empire Interactive,0.06,0,0,0.01,0.07,"60,000",0,0,"10,000","70,000",74,6,,,74.0,Empire Interactive,Empire Interactive,E
"Flower, Sun, and Rain",DS,2008,Adventure,Rising Star Games,0.06,0,0,0,0.07,"60,000",0,0,0,"70,000",54,37,7.1,15,58.9,h.a.n.d. Inc.,h.a.n.d. Inc.,T
The Tale of Despereaux,DS,2008,Platform,Brash Entertainment,0.06,0,0,0,0.07,"60,000",0,0,0,"70,000",75,5,,,75.0,Brash Entertainment,Brash Entertainment,E
Prince of Persia: The Fallen King,DS,2008,Action,Ubisoft,0.06,0,0,0,0.07,"60,000",0,0,0,"70,000",64,24,6,9,62.9,Ubisoft,Ubisoft,E
Steambot Chronicles: Battle Tournament,PSP,2008,Fighting,Irem Software Engineering,0.05,0,0.01,0.01,0.06,"50,000",0,"10,000","10,000","60,000",54,14,6.3,8,57.3,Irem,Irem,E10+
Cabela's Trophy Bucks,Wii,2008,Sports,Activision Value,0.06,0,0,0,0.06,"60,000",0,0,0,"60,000",,,6,5,60.0,FUN Labs,FUN Labs,T
Insecticide,DS,2008,Action,Gamecock,0.06,0,0,0,0.06,"60,000",0,0,0,"60,000",55,23,7,5,57.7,Creat Studios,Creat Studios,E10+
My Pet Shop,DS,2008,Simulation,Square Enix,0.06,0,0,0,0.06,"60,000",0,0,0,"60,000",60,10,,,60.0,Taito Corporation,Taito Corporation,E
Crimson Gem Saga,PSP,2008,Role-Playing,Sega,0.06,0,0,0,0.06,"60,000",0,0,0,"60,000",78,20,7.5,30,76.2,"IronNos Co.,Ltd.","IronNos Co.,Ltd.",T
Monster Madness: Grave Danger,PS3,2008,Shooter,SouthPeak Games,0.05,0,0,0.01,0.06,"50,000",0,0,"10,000","60,000",55,25,,,55.0,Psyonix,Psyonix,T
NHL 2K9,Wii,2008,Sports,Take-Two Interactive,0.06,0,0,0,0.06,"60,000",0,0,0,"60,000",65,11,5.4,19,58.0,Visual Concepts,Visual Concepts,E10+
Chrysler Classic Racing,Wii,2008,Racing,Zoo Games,0.06,0,0,0,0.06,"60,000",0,0,0,"60,000",40,4,,,40.0,Extra Mile Studios,Extra Mile Studios,E
From The Abyss,DS,2008,Role-Playing,Nobilis,0.06,0,0,0,0.06,"60,000",0,0,0,"60,000",59,9,8,5,66.5,Sonic Powered,Sonic Powered,E
Guilty Gear XX Accent Core Plus,PS2,2008,Fighting,PQube,0.03,0.02,0,0.01,0.06,"30,000","20,000",0,"10,000","60,000",,,8,7,80.0,Arc System Works,Arc System Works,T
LEGO Batman: The Videogame,PC,2008,Action,Warner Bros. Interactive Entertainment,0.02,0.03,0,0.01,0.06,"20,000","30,000",0,"10,000","60,000",80,15,7.8,61,78.4,Traveller's Tales,Traveller's Tales,E10+
Alone in the Dark,PS2,2008,Adventure,Atari,0.03,0.02,0,0.01,0.06,"30,000","20,000",0,"10,000","60,000",47,10,5.4,24,51.9,Hydravision,Hydravision,M
DropCast,DS,2008,Puzzle,THQ,0.06,0,0,0,0.06,"60,000",0,0,0,"60,000",66,4,,,66.0,Mikoishi,Mikoishi,E
Secret Files: Tunguska,Wii,2008,Adventure,Koch Media,0.04,0.01,0,0,0.06,"40,000","10,000",0,0,"60,000",65,12,7.6,8,69.4,"10tacle Studios, Fusionsphere Systems","10tacle Studios, Fusionsphere Systems",T
MLB Power Pros 2008,DS,2008,Sports,Take-Two Interactive,0.06,0,0,0,0.06,"60,000",0,0,0,"60,000",70,7,,,70.0,Konami,Konami,E
Little League World Series Baseball 2008,DS,2008,Sports,Activision,0.06,0,0,0,0.06,"60,000",0,0,0,"60,000",61,5,,,61.0,Black Lantern Studios,Black Lantern Studios,E
Theresia...,DS,2008,Adventure,Arc System Works,0.05,0,0,0,0.06,"50,000",0,0,0,"60,000",61,6,8,8,71.9,WorkJam,WorkJam,M
Sacred 2: Fallen Angel,PC,2008,Role-Playing,Ascaron Entertainment GmbH,0,0.05,0,0.01,0.06,0,"50,000",0,"10,000","60,000",71,41,6.9,203,69.3,"Ascaron Entertainment GmbH, Ascaron Entertainment","Ascaron Entertainment GmbH, Ascaron Entertainment",M
Jumper: Griffin's Story,X360,2008,Action,Eidos Interactive,0.05,0,0,0,0.06,"50,000",0,0,0,"60,000",29,16,3.3,30,31.6,Red Tribe,Red Tribe,T
Vampire Rain: Altered Species,PS3,2008,Action,Ignition Entertainment,0.05,0,0,0,0.06,"50,000",0,0,0,"60,000",30,15,3.5,36,33.5,Artoon,Artoon,M
Warriors Orochi 2,X360,2008,Action,Tecmo Koei,0.04,0,0.01,0,0.06,"40,000",0,"10,000",0,"60,000",44,28,8.1,15,56.9,Omega Force,Omega Force,T
Samurai Shodown Anthology,Wii,2008,Fighting,Ignition Entertainment,0.05,0,0,0,0.06,"50,000",0,0,0,"60,000",74,6,8.2,5,77.6,SNK Playmore,SNK Playmore,T
Real Soccer 2009,DS,2008,Sports,Ubisoft,0.05,0,0,0,0.06,"50,000",0,0,0,"60,000",70,7,,,70.0,Ubisoft,Ubisoft,E
Hail to the Chimp,X360,2008,Misc,Gamecock,0.05,0,0,0,0.06,"50,000",0,0,0,"60,000",52,23,6.1,7,54.1,Wideload Games Inc.,Wideload Games Inc.,T
Space Chimps,DS,2008,Platform,Brash Entertainment,0.05,0,0,0,0.06,"50,000",0,0,0,"60,000",59,5,,,59.0,"Red Tribe, Brash Entertainment","Red Tribe, Brash Entertainment",E
Unsolved Crimes,DS,2008,Adventure,Empire Interactive,0.04,0.01,0,0,0.05,"40,000","10,000",0,0,"50,000",66,20,,,66.0,Now Production,Now Production,T
Neverland Card Battles,PSP,2008,Role-Playing,Idea Factory,0.04,0,0,0.01,0.05,"40,000",0,0,"10,000","50,000",57,14,7.8,12,66.7,Idea Factory,Idea Factory,T
Mister Slime,DS,2008,Action,SouthPeak Games,0.05,0,0,0,0.05,"50,000",0,0,0,"50,000",59,12,,,59.0,Lexis Numerique,Lexis Numerique,E
Rhapsody: A Musical Adventure,DS,2008,Role-Playing,Nippon Ichi Software,0.05,0,0,0,0.05,"50,000",0,0,0,"50,000",67,24,6.8,12,67.3,Nippon Ichi Software,Nippon Ichi Software,E
Nanostray 2,DS,2008,Shooter,Codemasters,0.03,0.01,0,0,0.05,"30,000","10,000",0,0,"50,000",75,23,7.8,8,75.8,Shin'en,Shin'en,E
Dokapon Journey,DS,2008,Role-Playing,Sting,0.05,0,0,0,0.05,"50,000",0,0,0,"50,000",60,16,7,8,63.3,Suzak,Suzak,E10+
Bejeweled Twist,PC,2008,Puzzle,PopCap Games,0.01,0.04,0,0.01,0.05,"10,000","40,000",0,"10,000","50,000",78,12,7.3,11,75.6,PopCap,PopCap,E
Hail to the Chimp,PS3,2008,Misc,Gamecock,0.05,0,0,0,0.05,"50,000",0,0,0,"50,000",51,19,4.5,4,50.0,Wideload Games Inc.,Wideload Games Inc.,T
Secret Files: Tunguska,DS,2008,Adventure,Deep Silver,0.04,0.01,0,0,0.05,"40,000","10,000",0,0,"50,000",71,6,7.6,5,73.3,"10tacle Studios, Fusionsphere Systems","10tacle Studios, Fusionsphere Systems",T
George of the Jungle and the Search for the Secret,DS,2008,Platform,Ignition Entertainment,0.05,0,0,0,0.05,"50,000",0,0,0,"50,000",44,4,,,44.0,Crave,Crave,E
Spitfire Heroes: Tales of the Royal Air Force,DS,2008,Simulation,Destineer,0.05,0,0,0,0.05,"50,000",0,0,0,"50,000",49,10,,,49.0,Big John Games,Big John Games,E10+
Deadliest Catch: Alaskan Storm,X360,2008,Sports,Navarre Corp,0.04,0,0,0,0.05,"40,000",0,0,0,"50,000",56,14,5.9,15,57.6,Liquid Dragon Studios,Liquid Dragon Studios,T
Secret Service,X360,2008,Action,Activision Value,0.04,0,0,0,0.05,"40,000",0,0,0,"50,000",,,5.5,8,55.0,Tigon,Tigon,T
Rapala Fishing Frenzy 2009,X360,2008,Sports,Activision,0.04,0,0,0,0.05,"40,000",0,0,0,"50,000",41,5,7.2,6,57.9,FUN Labs,FUN Labs,E
Wonder World Amusement Park,Wii,2008,Misc,Majesco Entertainment,0.04,0,0,0,0.05,"40,000",0,0,0,"50,000",37,9,4.5,4,39.5,Coyote Console,Coyote Console,E
Professor Heinz Wolff's Gravity,DS,2008,Puzzle,Deep Silver,0.04,0,0,0,0.05,"40,000",0,0,0,"50,000",53,9,,,53.0,Deep Silver,Deep Silver,E
Color Cross,DS,2008,Misc,Rising Star Games,0.04,0,0,0,0.05,"40,000",0,0,0,"50,000",72,6,,,72.0,Rising Star Games,Rising Star Games,E
Cesar Millan's Dog Whisperer,DS,2008,Simulation,Ubisoft,0.04,0,0,0,0.05,"40,000",0,0,0,"50,000",,,8.6,9,86.0,Ubisoft,Ubisoft,E
Assassin's Creed: Altair's Chronicles,DS,2008,Platform,Ubisoft,0.03,0.01,0,0,0.05,"30,000","10,000",0,0,"50,000",58,30,6.3,30,60.5,Gameloft,Gameloft,T
Looney Tunes: Cartoon Conductor,DS,2008,Misc,Eidos Interactive,0.04,0,0,0,0.04,"40,000",0,0,0,"40,000",67,17,,,67.0,Amaze Entertainment,Amaze Entertainment,E
Lux-Pain,DS,2008,Adventure,Rising Star Games,0.04,0,0,0,0.04,"40,000",0,0,0,"40,000",48,33,6.2,18,52.9,Killaware,Killaware,T
Shaun the Sheep,DS,2008,Adventure,D3Publisher,0.04,0,0,0,0.04,"40,000",0,0,0,"40,000",58,5,,,58.0,Art,Art,E
The Dark Spire,DS,2008,Role-Playing,Success,0.04,0,0,0,0.04,"40,000",0,0,0,"40,000",69,23,7.7,21,72.8,Success,Success,E10+
Backyard Baseball '09,Wii,2008,Sports,Atari,0.04,0,0,0,0.04,"40,000",0,0,0,"40,000",37,4,7.8,5,59.8,Humongous Entertainment,Humongous Entertainment,E
SPRay,Wii,2008,Action,Tecmo Koei,0.04,0,0,0,0.04,"40,000",0,0,0,"40,000",42,16,4.5,6,42.8,EKO Software,EKO Software,E10+
Igor: The Game,DS,2008,Adventure,Legacy Interactive,0.04,0,0,0,0.04,"40,000",0,0,0,"40,000",43,4,,,43.0,Artefacts Studio,Artefacts Studio,E
Myth Makers: Trixie in Toyland,Wii,2008,Platform,Popcorn Arcade,0.04,0,0,0,0.04,"40,000",0,0,0,"40,000",,,0.2,5,2.0,Data Design Interactive,Data Design Interactive,E
Hellboy: The Science of Evil,PSP,2008,Action,Konami Digital Entertainment,0.04,0,0,0,0.04,"40,000",0,0,0,"40,000",42,14,7.1,13,56.0,Krome Studios,Krome Studios,T
Mortimer Beckett and the Secrets of Spooky Manor,Wii,2008,Puzzle,Avanquest,0.04,0,0,0,0.04,"40,000",0,0,0,"40,000",56,4,,,56.0,Paprikari,Paprikari,E
LEGO Indiana Jones: The Original Adventures,PC,2008,Action,LucasArts,0.02,0.02,0,0,0.04,"20,000","20,000",0,0,"40,000",78,14,7.7,35,77.3,Traveller's Tales,Traveller's Tales,E10+
Devil May Cry 4,PC,2008,Action,Capcom,0.01,0.02,0,0.01,0.04,"10,000","20,000",0,"10,000","40,000",78,21,8.5,353,84.6,Capcom,Capcom,M
Twin Strike: Operation Thunder,Wii,2008,Shooter,Zoo Games,0.04,0,0,0,0.04,"40,000",0,0,0,"40,000",50,7,8.3,6,65.2,Naps Team,Naps Team,E10+
Little Red Riding Hood's Zombie BBQ,DS,2008,Shooter,Destineer,0.03,0,0,0,0.04,"30,000",0,0,0,"40,000",68,15,7.3,8,69.7,EnjoyUp Games,EnjoyUp Games,T
Ferrari Challenge Trofeo Pirelli,PS3,2008,Racing,System 3 Arcade Software,0,0.03,0,0.01,0.04,0,"30,000",0,"10,000","40,000",71,37,6.2,26,67.3,Eutechnyx,Eutechnyx,E
Fading Shadows,PSP,2008,Puzzle,Ivolgamus,0.03,0,0,0,0.04,"30,000",0,0,0,"40,000",62,13,,,62.0,Ivolgamus,Ivolgamus,E
Teenage Zombies: Invasion of the Alien Brain Thingys,DS,2008,Adventure,Ignition Entertainment,0.03,0,0,0,0.04,"30,000",0,0,0,"40,000",67,30,8.2,29,74.4,InLight Entertainment,InLight Entertainment,E10+
World of Goo,PC,2008,Puzzle,2D Boy,0,0.03,0,0.01,0.04,0,"30,000",0,"10,000","40,000",90,26,8.5,607,85.2,2D Boy,2D Boy,E
S.T.A.L.K.E.R.: Clear Sky,PC,2008,Shooter,Deep Silver,0,0.03,0,0.01,0.04,0,"30,000",0,"10,000","40,000",75,47,7.7,478,76.8,GSC Game World,GSC Game World,M
Pirates: Duels on the High Seas,DS,2008,Action,Oxygen Interactive,0.03,0,0,0,0.03,"30,000",0,0,0,"30,000",50,15,,,50.0,Oxygen Interactive,Oxygen Interactive,E
Hotel Giant 2,PC,2008,Strategy,JoWood Productions,0,0.03,0,0,0.03,0,"30,000",0,0,"30,000",58,7,2.5,19,33.9,Enlight Software,Enlight Software,E
Toy Shop,DS,2008,Simulation,Majesco Entertainment,0.03,0,0,0,0.03,"30,000",0,0,0,"30,000",31,7,5.4,11,45.1,"Gameinvest, Seed Studios, Lda","Gameinvest, Seed Studios, Lda",E
Summer Athletics: The Ultimate Challenge,X360,2008,Sports,DTP Entertainment,0.02,0.01,0,0,0.03,"20,000","10,000",0,0,"30,000",48,10,,,48.0,49Games,49Games,E
Away: Shuffle Dungeon,DS,2008,Role-Playing,Majesco Entertainment,0.02,0,0,0,0.03,"20,000",0,0,0,"30,000",65,17,,,65.0,"Mistwalker, Artoon","Mistwalker, Artoon",E10+
GTR Evolution,PC,2008,Racing,Atari,0,0.02,0,0,0.03,0,"20,000",0,0,"30,000",83,19,8.2,63,82.2,SimBin,SimBin,E
Sins of a Solar Empire,PC,2008,Strategy,Pinnacle,0,0.02,0,0,0.03,0,"20,000",0,0,"30,000",87,52,8.2,275,82.8,Ironclad Games,Ironclad Games,T
007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0,0,0.03,"10,000","10,000",0,0,"30,000",70,18,6.3,55,64.7,Treyarch,Treyarch,T
Kung Fu Panda: Legendary Warriors,DS,2008,Action,Activision,0.02,0,0,0,0.03,"20,000",0,0,0,"30,000",73,7,,,73.0,Artificial Mind and Movement,Artificial Mind and Movement,E10+
Jack Keane,PC,2008,Adventure,Kalypso Media,0,0.02,0,0,0.03,0,"20,000",0,0,"30,000",69,25,7,21,69.5,Legacy Interactive,Legacy Interactive,T
MySims,PC,2008,Simulation,Electronic Arts,0,0.02,0,0,0.03,0,"20,000",0,0,"30,000",70,12,6.4,8,67.6,EA Redwood Shores,EA Redwood Shores,E
Bully: Scholarship Edition,PC,2008,Action,Take-Two Interactive,0,0.02,0,0,0.03,0,"20,000",0,0,"30,000",72,11,7.5,257,74.9,"Mad Doc Software, Rockstar Vancouver","Mad Doc Software, Rockstar Vancouver",T
Kawasaki Snowmobiles,Wii,2008,Racing,Metro 3D,0.02,0,0,0,0.03,"20,000",0,0,0,"30,000",,,2,6,20.0,Data Design Interactive,Data Design Interactive,E
X3: Terran Conflict,PC,2008,Simulation,Deep Silver,0,0.02,0,0,0.03,0,"20,000",0,0,"30,000",73,16,7.9,222,78.6,Egosoft,Egosoft,T
Ducati Moto,DS,2008,Racing,Vir2L Studios,0.02,0,0,0,0.03,"20,000",0,0,0,"30,000",69,4,,,69.0,4J Studios,4J Studios,E
Moto Racer DS,DS,2008,Racing,Nobilis,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",73,6,,,73.0,Artefacts Studio,Artefacts Studio,E
Warhammer Online: Age of Reckoning,PC,2008,Role-Playing,GOA,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",86,54,7.9,374,79.9,EA Mythic,EA Mythic,T
George of the Jungle and the Search for the Secret,Wii,2008,Platform,Ignition Entertainment,0.02,0,0,0,0.02,"20,000",0,0,0,"20,000",35,10,4,6,36.9,Crave,Crave,E
Europa Universalis III Complete,PC,2008,Strategy,Paradox Interactive,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",,,8.7,6,87.0,Paradox Development Studio,Paradox Development Studio,E10+
Stronghold Crusader Extreme,PC,2008,Strategy,Gamecock,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",45,11,6.8,45,63.5,FireFly Studios,FireFly Studios,T
Line Rider 2: Unbound,Wii,2008,Puzzle,Deep Silver,0.02,0,0,0,0.02,"20,000",0,0,0,"20,000",62,12,6.4,5,62.6,InXile Entertainment,InXile Entertainment,E
Tom Clancy's Rainbow Six: Vegas 2,PC,2008,Shooter,Ubisoft,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",78,20,7.3,185,73.5,Ubisoft Montreal,Ubisoft Montreal,M
Brothers in Arms: Hell's Highway,PC,2008,Shooter,Ubisoft,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",79,22,7.9,130,79.0,Gearbox Software,Gearbox Software,M
Kawasaki Jet Ski,Wii,2008,Racing,Metro 3D,0.02,0,0,0,0.02,"20,000",0,0,0,"20,000",,,0.6,5,6.0,Data Design Interactive,Data Design Interactive,E
Kung Fu Panda,PC,2008,Action,Activision,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",71,11,7.8,12,74.7,Beenox,Beenox,E10+
Frontlines: Fuel of War,PC,2008,Shooter,THQ,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",73,19,6.9,171,69.4,Kaos Studios,Kaos Studios,T
Left 4 Dead,PC,2008,Shooter,Electronic Arts,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",89,58,9.2,3717,92.0,Valve Software,Valve Software,M
Mata Hari: Betrayal is only a Kiss Away,PC,2008,Adventure,DTP Entertainment,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",63,11,,,63.0,DTP Entertainment,DTP Entertainment,T
FIFA Soccer 09,PC,2008,Sports,Electronic Arts,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",77,15,6.8,36,70.6,EA Canada,EA Canada,E
Commando: Steel Disaster,DS,2008,Shooter,Lexicon Entertainment,0.02,0,0,0,0.02,"20,000",0,0,0,"20,000",64,6,,,64.0,Mana Comp. Soft.,Mana Comp. Soft.,E10+
Jake Hunter: Detective Chronicles,DS,2008,Adventure,Aksys Games,0.02,0,0,0,0.02,"20,000",0,0,0,"20,000",47,12,,,47.0,WorkJam,WorkJam,T
Spider-Man: Web of Shadows,PC,2008,Action,Activision,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",52,11,7.8,57,73.8,"Treyarch, Shaba Games","Treyarch, Shaba Games",T
The Lord of the Rings Online: Mines of Moria,PC,2008,Role-Playing,Codemasters Online,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",85,24,8.2,99,82.6,Turbine Inc.,Turbine Inc.,T
Ten Pin Alley 2,Wii,2008,Sports,XS Games,0.02,0,0,0,0.02,"20,000",0,0,0,"20,000",30,4,,,30.0,Other Ocean Interactive,Other Ocean Interactive,E
Crysis: Warhead,PC,2008,Shooter,Electronic Arts,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",84,56,7.9,516,79.5,Crytek,Crytek,M
NHL 09,PC,2008,Sports,Electronic Arts,0,0.02,0,0,0.02,0,"20,000",0,0,"20,000",62,6,4.1,30,44.5,EA Canada,EA Canada,E10+
Legendary,PC,2008,Shooter,Atari,0,0.01,0,0,0.02,0,"10,000",0,0,"20,000",50,23,6.6,104,63.1,Spark Unlimited,Spark Unlimited,M
Iridium Runners,PS2,2008,Racing,SouthPeak Games,0.01,0.01,0,0,0.02,"10,000","10,000",0,0,"20,000",57,12,,,57.0,Playstos Entertainment,Playstos Entertainment,E
Emergency Mayhem,Wii,2008,Racing,Codemasters,0.02,0,0,0,0.02,"20,000",0,0,0,"20,000",40,21,4.3,4,40.5,Supersonic Software,Supersonic Software,T
Peggle Nights,PC,2008,Puzzle,PopCap Games,0,0.01,0,0,0.02,0,"10,000",0,0,"20,000",76,15,8.1,24,79.1,PopCap,PopCap,E
Pirates of the Burning Sea,PC,2008,Role-Playing,Koch Media,0,0.01,0,0,0.02,0,"10,000",0,0,"20,000",76,30,7.6,61,76.0,Flying Lab Software,Flying Lab Software,T
Lost: Via Domus,PC,2008,Action,Ubisoft,0,0.01,0,0,0.02,0,"10,000",0,0,"20,000",52,22,6,38,57.1,Ubisoft Montreal,Ubisoft Montreal,T
Wall-E,PC,2008,Platform,THQ,0,0.01,0,0,0.02,0,"10,000",0,0,"20,000",58,6,6.8,17,65.4,Heavy Iron Studios,Heavy Iron Studios,E
A Vampyre Story,PC,2008,Adventure,Crimson Cow,0,0.01,0,0,0.02,0,"10,000",0,0,"20,000",75,33,8.5,25,79.3,Autumn Moon,Autumn Moon,T
Imperium Romanum,PC,2008,Strategy,Kalypso Media,0,0.01,0,0,0.02,0,"10,000",0,0,"20,000",63,19,7.5,24,69.7,Haemimont,Haemimont,E10+
Turok,PC,2008,Action,Touchstone,0,0.01,0,0,0.01,0,"10,000",0,0,"10,000",65,16,6.5,55,65.0,Propaganda Games,Propaganda Games,M
Banjo-Kazooie,X360,2008,Platform,Microsoft Game Studios,0,0.01,0,0,0.01,0,"10,000",0,0,"10,000",77,17,8.2,70,81.0,4J Studios,4J Studios,E
Double Sequence: The Q-Virus Invasion,DS,2008,Puzzle,Zoo Digital Publishing,0.01,0,0,0,0.01,"10,000",0,0,0,"10,000",37,4,,,37.0,Next Wave Team,Next Wave Team,E
Conflict: Denied Ops,PC,2008,Shooter,Eidos Interactive,0,0.01,0,0,0.01,0,"10,000",0,0,"10,000",58,18,4.8,54,50.5,Pivotal Games,Pivotal Games,M
FlatOut: Ultimate Carnage,PC,2008,Racing,Empire Interactive,0,0.01,0,0,0.01,0,"10,000",0,0,"10,000",79,16,7.7,127,77.2,Bugbear,Bugbear,T
Alone in the Dark,PC,2008,Adventure,Atari,0,0.01,0,0,0.01,0,"10,000",0,0,"10,000",55,19,5.7,148,56.8,Eden Studios,Eden Studios,M
